source_id,target_id,relation_type,target_in_dataset,used_for_grouping
190,189,PREQUEL,True,True
194,1088,SEQUEL,False,False
194,5164,SIDE_STORY,True,True
195,443,SEQUEL,True,True
195,7474,SIDE_STORY,True,True
195,14685,SUMMARY,True,True
195,196,SPIN_OFF,True,True
195,203368,OTHER,False,False
200,14367,SIDE_STORY,False,False
216,215,PREQUEL,True,True
254,253,PREQUEL,True,True
254,255,SEQUEL,True,True
260,261,SEQUEL,True,True
260,7579,SIDE_STORY,False,False
260,259,ALTERNATIVE,True,True
274,3349,SEQUEL,True,True
274,5859,SEQUEL,False,False
274,2176,SUMMARY,True,True
274,3222,SUMMARY,True,True
274,3223,SUMMARY,True,True
277,276,PREQUEL,True,True
277,631,SIDE_STORY,True,True
277,7066,SIDE_STORY,True,True
299,298,SEQUEL,True,True
299,48,PREQUEL,True,True
328,107627,SIDE_STORY,True,True
121837,1960,PARENT,False,False
122029,1116,ALTERNATIVE,False,False
145768,3545,PARENT,False,False
151685,6412,OTHER,True,False
151685,108337,OTHER,True,False
177063,177067,OTHER,False,False
177063,177065,OTHER,True,False
177063,177064,OTHER,True,False
177063,211260,OTHER,False,False
177063,211262,OTHER,False,False
177063,177066,OTHER,False,False
177063,177068,OTHER,False,False
177065,177067,OTHER,False,False
177065,177063,OTHER,True,False
177065,177064,OTHER,True,False
177065,211260,OTHER,False,False
177065,211262,OTHER,False,False
177065,177066,OTHER,False,False
177065,177068,OTHER,False,False
182142,1491,OTHER,False,False
353,352,PREQUEL,True,True
378,377,PREQUEL,True,True
378,12351,SIDE_STORY,True,True
382,21280,SEQUEL,True,True
425,13843,CHARACTER,True,False
443,195,PARENT,True,True
443,196,SPIN_OFF,True,True
446,447,PREQUEL,False,False
446,1024,PREQUEL,False,False
450,249,PARENT,True,True
461,21,PARENT,False,False
461,460,PREQUEL,True,True
461,462,SEQUEL,True,True
461,2386,SIDE_STORY,True,True
467,801,SEQUEL,True,True
467,10949,SIDE_STORY,True,True
467,2449,SUMMARY,True,True
467,17187,SPIN_OFF,True,True
467,43,ALTERNATIVE,False,False
467,1335,SIDE_STORY,False,False
467,177699,ALTERNATIVE,True,True
492,1079,PREQUEL,False,False
529,609,SIDE_STORY,True,True
597,585,CHARACTER,False,False
611,5492,SIDE_STORY,False,False
615,921,SEQUEL,True,True
615,920,SIDE_STORY,True,True
615,1048,PARENT,True,True
615,21440,ALTERNATIVE,True,True
623,117019,SIDE_STORY,True,True
647,1904,SEQUEL,True,True
652,383,PREQUEL,True,True
652,653,SEQUEL,True,True
652,2206,SIDE_STORY,False,False
653,652,PREQUEL,True,True
653,655,SEQUEL,True,True
653,654,SIDE_STORY,True,True
653,12225,SIDE_STORY,True,True
683,682,PARENT,True,True
687,117196,ALTERNATIVE,True,True
821,3931,SEQUEL,True,True
821,185,PARENT,False,False
821,186,PARENT,False,False
821,187,PARENT,True,True
833,1149,SEQUEL,True,True
835,836,ALTERNATIVE,True,True
881,133,ALTERNATIVE,True,True
887,888,PARENT,True,True
958,1774,SIDE_STORY,True,True
972,368,SEQUEL,True,True
976,975,PREQUEL,False,False
982,983,SIDE_STORY,True,True
1019,1020,SEQUEL,True,True
1038,1039,ALTERNATIVE,True,True
1080,1515,OTHER,True,False
1080,177433,SEQUEL,False,False
1081,1000,PARENT,False,False
1084,811,PARENT,True,True
1105,6795,CHARACTER,True,False
1111,181,PARENT,True,True
1120,4795,SIDE_STORY,True,True
1120,527,PARENT,False,False
1127,1128,SEQUEL,True,True
1127,1129,PARENT,True,True
1132,3031,SIDE_STORY,True,True
1132,552,PARENT,False,False
1132,11385,CHARACTER,True,False
1133,539,ALTERNATIVE,False,False
1133,165749,OTHER,True,False
1133,992,OTHER,False,False
1224,1268,SEQUEL,True,True
1257,1254,PREQUEL,False,False
1257,1253,SEQUEL,True,True
1290,1095,PREQUEL,False,False
1290,1096,SEQUEL,False,False
1290,2733,OTHER,True,False
1353,2341,ALTERNATIVE,False,False
1365,235,PARENT,False,False
1380,58,ALTERNATIVE,False,False
1404,2208,SEQUEL,True,True
1418,1412,PARENT,False,False
1427,1412,PARENT,False,False
1511,4816,SEQUEL,True,True
1564,527,PREQUEL,False,False
1564,1565,SEQUEL,True,True
1564,1121,SIDE_STORY,True,True
1564,1122,SIDE_STORY,True,True
1564,1526,SIDE_STORY,True,True
1564,1527,SIDE_STORY,True,True
1564,2201,SIDE_STORY,True,True
1564,5844,SIDE_STORY,True,True
1564,5845,SIDE_STORY,True,True
1564,20956,ALTERNATIVE,True,True
1564,4910,SIDE_STORY,True,True
1564,2363,SIDE_STORY,True,True
1564,2842,OTHER,True,False
1564,6877,SIDE_STORY,True,True
1564,11009,SIDE_STORY,True,True
1564,11019,SIDE_STORY,True,True
1564,97635,ALTERNATIVE,True,True
1596,5715,SIDE_STORY,True,True
1596,12243,CHARACTER,False,False
1596,516,CHARACTER,True,False
1597,293,SEQUEL,False,False
1623,145503,SIDE_STORY,True,True
1633,1632,SEQUEL,True,True
1669,288,PREQUEL,True,True
1669,1668,SEQUEL,True,True
1669,1670,SIDE_STORY,True,True
1670,1669,PARENT,True,True
1685,4443,SEQUEL,True,True
1685,3669,SIDE_STORY,True,True
1685,6062,SIDE_STORY,True,True
1685,9282,SIDE_STORY,False,False
1685,146859,PARENT,False,False
1685,176634,CHARACTER,False,False
1705,1626,ALTERNATIVE,False,False
1706,1000,ALTERNATIVE,False,False
1706,1645,ALTERNATIVE,False,False
1707,5967,SEQUEL,True,True
1707,6310,SIDE_STORY,True,True
1707,12279,SIDE_STORY,True,True
1707,3281,PREQUEL,False,False
1710,2108,SEQUEL,True,True
1710,2808,ALTERNATIVE,True,True
1710,1854,PARENT,True,True
1712,10648,ALTERNATIVE,False,False
1733,377,SEQUEL,True,True
1744,170426,SEQUEL,True,True
1745,1959,PREQUEL,False,False
1789,285,PARENT,True,True
1854,2808,PARENT,True,True
1854,1835,OTHER,True,False
1854,1710,OTHER,True,False
1937,839,SIDE_STORY,False,False
1937,2591,PARENT,False,False
1980,6675,SIDE_STORY,True,True
1980,204410,SEQUEL,False,False
1996,122,PARENT,True,True
1999,608,PREQUEL,True,True
2007,692,ALTERNATIVE,False,False
2010,2014,PARENT,True,True
2033,8079,SEQUEL,False,False
2033,98208,SIDE_STORY,True,True
2033,120756,SEQUEL,False,False
2185,203,SEQUEL,False,False
2275,2276,SEQUEL,True,True
2363,1564,PARENT,True,True
2377,2378,SEQUEL,True,True
2377,2374,CHARACTER,False,False
2377,3586,CHARACTER,False,False
2377,3587,CHARACTER,True,False
2377,147929,ALTERNATIVE,True,True
2386,461,PARENT,True,True
2386,21,PARENT,False,False
2399,508,PARENT,True,True
2488,523,PREQUEL,False,False
2512,235,PARENT,False,False
2537,2536,PREQUEL,True,True
2655,2471,PARENT,False,False
2733,1290,PARENT,True,True
2733,1096,PARENT,False,False
2733,1095,PARENT,False,False
2733,1288,PARENT,False,False
2733,324,PARENT,False,False
2777,2776,PREQUEL,True,True
2777,2778,SEQUEL,True,True
3006,9795,SIDE_STORY,True,True
3006,9796,SIDE_STORY,True,True
3006,21229,SEQUEL,True,True
3006,173313,OTHER,True,False
3031,1132,PARENT,True,True
3033,874,PREQUEL,True,True
3080,1887,CHARACTER,True,False
3080,9875,CHARACTER,True,False
3516,3517,SEQUEL,True,True
3744,2450,PREQUEL,True,True
3744,8363,SEQUEL,True,True
3744,966,PARENT,False,False
3861,154,PARENT,True,True
3963,3964,SEQUEL,True,True
3963,95,PARENT,False,False
3964,3963,PREQUEL,True,True
3964,95,PARENT,False,False
4068,4067,PREQUEL,True,True
4476,129,PARENT,True,True
4489,3301,PARENT,True,True
4795,1120,PARENT,True,True
5051,1088,PARENT,False,False
5458,481,PARENT,True,True
5674,5398,SEQUEL,True,True
5773,5548,PREQUEL,True,True
6709,53,PARENT,True,True
7330,508,PARENT,True,True
